Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Darlington,E06000005,"105,564","101,595","98,898",328,350,"2,019","1,146",463,97,350,236,"2,205",726,145,523,349,462,357,206,105,46,261,112,149
County Durham,E06000047,"513,242","503,769","495,664","1,229",467,"6,409","3,094",969,321,"1,093",711,"4,856","1,368",463,241,"1,598","1,186",701,447,158,96,822,459,363
Hartlepool,E06000001,"92,028","89,899","88,924",193,40,742,550,180,54,173,143,"1,304",266,291,214,229,304,170,129,36,5,105,57,48
Middlesbrough,E06000002,"138,412","122,055","119,106",574,85,"2,290","2,362",541,452,904,465,"10,768","1,477","6,811",244,904,"1,332","1,731","1,470",92,169,"1,496",950,546
Northumberland,E06000057,"316,028","311,066","307,097",833,156,"2,980","1,692",515,230,624,323,"2,658",939,351,295,452,621,338,193,114,31,274,73,201
Redcar and Cleveland,E06000003,"135,177","133,203","131,928",415,85,775,853,298,107,273,175,869,91,295,94,155,234,122,80,34,8,130,37,93
Stockton-on-Tees,E06000004,"191,610","181,299","178,965",536,143,"1,655","1,997",419,316,823,439,"6,632","1,488","3,072",132,866,"1,074","1,133",936,84,113,549,236,313
Gateshead,E08000037,"200,214","192,742","188,355",592,87,"3,708","1,558",412,260,523,363,"3,738",916,617,242,"1,054",909,"1,081",903,90,88,"1,095",289,806
Newcastle upon Tyne,E08000021,"280,177","239,533","229,520","1,826",163,"8,024","4,279",830,859,"1,609",981,"27,107","5,072","6,364","4,692","6,037","4,942","5,160","4,664",217,279,"4,098","2,602","1,496"
North Tyneside,E08000022,"200,801","194,025","190,936",596,29,"2,464","1,815",448,385,602,380,"3,815","1,095",319,686,869,846,734,576,91,67,412,177,235
South Tyneside,E08000023,"148,127","142,099","140,821",305,9,964,"1,325",324,229,440,332,"3,311",643,434,"1,534",235,465,420,316,61,43,972,566,406
Sunderland,E08000024,"275,506","264,282","261,209",608,70,"2,395","1,778",539,239,608,392,"7,336","1,736",669,"2,075","1,536","1,320","1,273","1,062",111,100,837,292,545
Blackburn with Darwen,E06000008,"147,489","102,009","98,144",794,161,"2,910","1,823",315,162,989,357,"41,494","19,791","17,801","1,525",721,"1,656",933,614,202,117,"1,230",585,645
Blackpool,E06000009,"142,065","137,339","133,042","1,029",237,"3,031","1,753",690,264,448,351,"2,282",627,223,231,514,687,346,183,111,52,345,170,175
Cheshire East,E06000049,"370,127","357,940","346,264","2,241",313,"9,122","3,873","1,341",461,"1,293",778,"6,060","2,147",856,504,"1,125","1,428","1,402",664,511,227,852,338,514
Cheshire West and Chester,E06000050,"329,608","321,025","312,013","2,337",213,"6,462","3,050",889,411,"1,059",691,"4,097","1,242",336,576,935,"1,008",908,586,196,126,528,199,329
Halton,E06000006,"125,746","123,041","121,210",654,41,"1,136","1,356",465,253,330,308,943,282,44,60,308,249,260,95,134,31,146,54,92
