Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
North East,E12000001,"2,596,886","2,475,567","2,431,423","8,035","1,684","34,425","22,449","5,938","3,549","8,022","4,940","74,599","15,817","19,831","10,972","14,284","13,695","13,220","10,982","1,193","1,045","11,051","5,850","5,201"
North West,E12000002,"7,052,177","6,361,716","6,141,069","64,930","4,147","151,570","110,891","39,204","18,392","30,529","22,766","437,485","107,353","189,436","45,897","48,049","46,750","97,869","59,278","23,131","15,460","44,216","24,528","19,688"
Yorkshire and The Humber,E12000003,"5,283,733","4,691,956","4,531,137","26,410","4,378","130,031","84,558","33,241","9,321","26,008","15,988","385,964","69,252","225,892","22,424","28,435","39,961","80,345","46,033","23,420","10,892","40,910","21,340","19,570"
East Midlands,E12000004,"4,533,222","4,046,356","3,871,146","28,676","3,418","143,116","86,224","40,404","8,814","21,688","15,318","293,423","168,928","48,940","13,258","24,404","37,893","81,484","41,768","28,913","10,803","25,735","9,746","15,989"
West Midlands,E12000005,"5,601,847","4,633,669","4,434,333","55,216","4,734","139,386","131,714","68,533","9,232","32,561","21,388","604,435","218,439","227,248","52,477","31,274","74,997","182,125","64,253","86,794","31,078","49,904","18,079","31,825"
East,E12000006,"5,846,965","5,310,194","4,986,170","55,573","8,165","260,286","112,116","37,222","15,388","32,226","27,280","278,372","86,736","66,270","32,992","33,503","58,871","117,442","69,925","33,614","13,903","28,841","10,367","18,474"
London,E12000007,"8,173,941","4,887,435","3,669,284","175,974","8,196","1,033,981","405,279","119,425","65,479","101,500","118,875","1,511,546","542,857","223,797","222,127","124,250","398,515","1,088,640","573,931","344,597","170,112","281,041","106,020","175,021"
South East,E12000008,"8,634,750","7,827,820","7,358,998","73,571","14,542","380,709","167,764","45,980","22,825","58,764","40,195","452,042","152,132","99,246","27,951","53,061","119,652","136,013","87,345","34,225","14,443","51,111","19,363","31,748"
South West,E12000009,"5,288,935","5,046,429","4,855,676","28,616","5,631","156,506","71,884","25,669","8,550","21,410","16,255","105,537","34,188","11,622","8,416","22,243","29,068","49,476","24,226","15,129","10,121","15,609","5,692","9,917"
Wales,W92000004,"3,063,456","2,928,253","2,855,450","14,086","2,785","55,932","31,521","11,099","4,424","9,019","6,979","70,128","17,256","12,229","10,687","13,638","16,318","18,276","11,887","3,809","2,580","15,278","9,615","5,663"
